,isbn10,authors
2947,0515124796,Lynda La Plante
2948,0515125601,Dick Francis
2949,0515128554,Nora Roberts
2950,0515133086,Emma Holly
2951,0515135968,Christine Feehan
2952,0515136948,Jayne Castle
2952,0515136948,Jayne Ann Krentz
2953,0515138150,MaryJanice Davidson
2953,0515138150,Eileen Wilks
2953,0515138150,Rebecca York
2954,051513970X,Charlaine Harris
2954,051513970X,MaryJanice Davidson
2954,051513970X,Angela Knight
2954,051513970X,Vickie Taylor
2955,0515139750,Laurell K. Hamilton
2956,0515140775,Nora Roberts
2957,0515141402,Jayne Castle
2958,0515141658,Nora Roberts
2959,0515141666,Nora Roberts
2960,0515141674,Nora Roberts
2961,0517077744,Sandra Brown
2962,0517082454,Edgar Allan Poe
2963,0517084791,Michael Crichton
2964,0517091267,Edward Morgan Forster
2965,0517092913,Hans Christian Andersen
2966,0517093391,Charles Dickens
2967,0517101351,Michael Crichton
2968,0517146487,J. E. A. Tyler
2968,0517146487,John Ronald Reuel Tolkien
2969,0517146541,John Irving
2970,0517147688,Jane Austen
2971,0517149257,Douglas Adams
2972,0517174960,Arthur Conan Doyle
2973,0517182467,John Saul
2974,0517189607,Frances Hodgson Burnett
2975,0517201666,Colleen McCullough
2976,0517219026,Stephen King
2977,0517229277,Charles Dickens
2977,0517229277,Arthur Rackham
2977,0517229277,Clement Clarke Moore
2978,0517309807,Jack London
2979,0517588374,William F. Russell
2980,0517604469,Donald A. Mackenzie
2981,0517884542,Robert Bauval
2982,0520024273,Hugh Kenner
2983,0520024796,Lotte H. Eisner
2984,0520026268,Fritz R. Stern
2985,0520048989,Eric R. Wolf
2986,0520072383,Roland Barthes
2987,0520204956,Liza Crihfield Dalby
2988,0520206398,Bernard Taper
2989,0520213688,Joan Dayan
2990,0520215109,Robert A. Nye
2991,0520229134,Paul Farmer
2992,0520231511,Jonathan Andrews
2992,0520231511,Andrew T. Scull
2993,0520234413,James Campbell
2994,0520239326,Todd Gitlin
2995,0520240588,David Cairns
2996,0520241827,Yasunari Kawabata
2997,0520242602,Ovid
2998,0520243269,Paul Farmer
2999,0520244958,Gene Brucker
3000,0520246330,Julian Oliver Caldecott
3000,0520246330,Lera Miles
3001,0520251091,Rebecca Solnit
3002,0520251741,Judith Larner Lowry
3003,0521002931,Steven Nadler
3003,0521002931,Steven M. Nadler
3004,0521009375,Matthew J. Gibney
3005,0521010500,Elisabeth Jean Wood
3005,0521010500,Wood Elisabeth Jean
3006,0521011760,Simon Goldhill
3007,0521274559,G. S. Kirk
3007,0521274559,J. E. Raven
3007,0521274559,M. Schofield
3008,0521286913,Bernard Williams
3009,0521288843,John Maynard Smith
3010,0521290600,Bernard Williams
3011,0521293731,William Shakespeare
3011,0521293731,Susan Snyder
3011,0521293731,Deborah T. Curren-Aquino
3012,0521313252,Anthony Thorlby
3013,0521315794,Simon Goldhill
3013,0521315794,Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill
3014,0521316928,Michael Wood
3015,0521317509,Charles Taylor
3016,0521348358,Cicero
3016,0521348358,Marcus Tullius Cicero
3016,0521348358,Quintus Tullius Cicero
3017,0521348889,Georg Wilhelm Fredrich Hegel
3018,052138673X,Joseph Tainter
3019,0521398339,Quentin Skinner
3020,0521402409,F. Scott Fitzgerald
3021,0521406773,Retha M. Warnicke
3022,0521437733,"Hobsbawm, E. J. Hobsbawm"
3022,0521437733,Eric Hobsbawm
3022,0521437733,Terence Ranger
3023,0521437776,E. M. Butler
3023,0521437776,Eliza Marian Butler
3024,0521439612,E. J. Hobsbawm
3025,0521476763,Lloyd Phillip Gerson
3025,0521476763,Lloyd P. Gerson
3026,0521479347,Simon Goldhill
3026,0521479347,Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill
3027,0521484006,Aristotle
3028,0521498678,John O. Jordan
3029,0521532477,William Shakespeare
3030,0521532485,William Shakespeare
3030,0521532485,Andrew Gurr
3031,0521532523,William Shakespeare
3031,0521532523,Philip Edwards
3032,052153514X,William Shakespeare
3032,052153514X,Elizabeth Story Donno
3033,0521539811,Simon Goldhill
3034,0521599636,Friedrich Nietzsche
3035,0521612632,William Shakespeare
3035,0521612632,Jay L. Halio
3036,0521618746,William Shakespeare
3037,0521629241,Christopher Janaway
3038,0521639875,Friedrich Nietzsche
3038,0521639875,Nietzsche Friedrich
3039,0521639891,Peter Conn
3039,0521639891,Peter J. Conn
3040,0521654084,Immanuel Kant
3041,0521663873,Anthony J. Cascardi
3042,0521667925,Robert Sokolowski
3043,0521750342,William T. Vetterling
3044,0521750849,Margaret Johnson
3045,0521774330,Andrea Wilson Nightingale
3046,0521805228,Ruth Abbey
3046,0521805228,Lecturer in Philosophy Ruth Abbey
3046,0521805228,Cambridge University Press
3047,0521831431,Barton Zwiebach
3048,0521834341,"Radcliffe G. Edmonds, III"
3049,0521855268,Daron Acemoglu
3049,0521855268,James A. Robinson
3050,0525461310,William Sleator
3051,0525467777,Lloyd Alexander
3052,0525469788,Kathleen V. Kudlinski
3053,0525947264,Deborah Ford
3053,0525947264,Edie Hand
3054,0525948929,Ayn Rand
3055,0525950125,Harlan Coben
3056,0529123452,Chris Seay
3056,0529123452,David B. Capes
3056,0529123452,Brian McLaren
3057,0534491820,Adam Drozdek
3058,0534613039,Donald D. Stull
3058,0534613039,Michael J. Broadway
3059,0552133256,Terry Pratchett
3060,0552135399,John Irving
3061,0552146080,Terry Pratchett
3061,0552146080,Stephen Briggs
3062,0552146730,Terry Pratchett
3062,0552146730,Stephen Briggs
3062,0552146730,Paul Kidby
3062,0552146730,Tina Hannan
3063,0552146781,David Gemmell
3064,0552148083,David Eddings
3065,0552148105,David Eddings
3066,0552152161,Betty Mahmoody
3066,0552152161,William Hoffer
3067,0552152943,Terry Pratchett
3068,0552152951,Terry Pratchett
3069,055215315X,Terry Pratchett
3070,0552154288,Terry Pratchett
3071,0552548227,Robin McKinley
3072,0552548634,Robin McKinley
3073,0552554278,Paul Stewart
3073,0552554278,Chris Riddell
3074,0552771236,Ben Elton
3075,0552771848,Ben Elton
3076,0552773085,Stephen Clarke
3077,0552992097,John Irving
3078,0552995800,Naguib Mahfouz
3079,0552997773,Mary Doria Russell
3080,0552998001,Joanne Harris
3081,055299801X,Jane Hamilton
3082,0552998486,Joanne Harris
3083,0552998680,John Irving
3084,0552998761,Armistead Maupin
3085,055299877X,Armistead Maupin
3086,0552998788,Armistead Maupin
3087,0552998818,Armistead Maupin
3088,0552998834,Joanne Harris
3089,0552999458,Ben Elton
3090,0552999954,Ben Elton
3091,0553096060,Jerry Seinfeld
3092,0553103741,Stephen Hawking
3093,0553112449,Ray Bradbury
3093,0553112449,Leo Dillon
3093,0553112449,Diane Dillon
3094,0553156500,Donald J. Sobol
3095,0553157167,Stephen Manes
3096,0553157272,Jamie Suzanne
3096,0553157272,Francine Pascal
3097,0553211951,Mark Twain
3098,0553212168,Fyodor Dostoyevsky
3099,0553213431,Aristophanes
3100,0553213555,Stephen Crane
3101,0553213970,Jules Verne
3102,0553233505,Stephen Manes
3103,0553248472,Louis L'Amour
3104,0553251619,T. Z. Lavine
3105,0553251791,Barbara Conklin
3106,0553258478,Leon Uris
3107,0553260456,Connie Willis
3108,0553267604,Raymond E. Feist
3109,0553268945,Margaret Weis
3109,0553268945,Tracy Hickman
3110,0553270621,Barbara Conklin
3110,0553270621,Stefanie Curtis
3111,0553270818,Joseph Papp
3111,0553270818,Elizabeth Kirkland
3112,0553271091,Robert Ludlum
3113,0553271644,Margaret Weis
3114,0553273868,Joseph Wambaugh
3115,0553273914,Isabel Allende
3116,0553274066,Margaret Weis
3116,0553274066,Tracy Hickman
3117,0553274910,Francine Pascal
3118,0553275216,Kate William
3118,0553275216,Francine Pascal
3119,0553275607,Francine Pascal
3120,0553275674,Francine Pascal
3120,0553275674,Kate William
3121,055327578X,Francine Pascal
3121,055327578X,Kate William
3122,0553275860,Hermann Hesse
3123,0553276727,Kate William
3123,0553276727,Francine Pascal
3124,0553279378,Maya Angelou
3125,0553280872,Francine Pascal
3126,0553282808,Leon Uris
3127,0553284118,John Saul
3128,0553285726,Ram Dass
3128,0553285726,Daniel Goleman
3129,0553286390,Margaret Weis
3129,0553286390,Tracy Hickman
3130,0553289519,Sandra Brown
3131,0553290851,Sandra Brown
3132,0553292781,Kate William
3132,0553292781,Francine Pascal
3133,0553293427,Isaac Asimov
3134,0553295004,Sandra Brown
3135,0553295411,Margaret Weis
3135,0553295411,Tracy Hickman
3136,0553297600,Stephen R. Donaldson
3137,055329783X,Sandra Brown
3138,0553299492,Isaac Asimov
3139,0553299611,Robert M. Pirsig
3140,0553345842,Douglas R. Hofstadter
3140,0553345842,Daniel Clement Dennett
3141,0553345893,William Manchester
3142,0553346113,Sam Shepard
3142,0553346113,Joseph Chaikin
3143,0553372122,Todd Gitlin
3144,0553374591,Iain Banks
3145,0553375261,Nicholas H. Dodman
3146,0553375938,Ann Brashares
3147,0553377760,Hermann Hesse
3148,055337933X,Tom Robbins
3149,0553380168,Stephen Hawking
3150,0553380958,Neal Stephenson
3151,0553380966,Neal Stephenson
3152,0553381008,Anton Pavlovich Chekhov
3153,0553381342,Tom Wolfe
3154,0553381393,Steven Pressfield
3155,0553381415,Susan Forward
3155,0553381415,Joan Torres
3156,0553381539,Pat Conroy
3157,0553381547,Pat Conroy
3158,0553381695,George R. R. Martin
3159,0553382047,Steven Pressfield
3160,0553382616,Jean M. Auel
3161,0553383043,Ursula K. Le Guin
3162,0553383434,Neal Stephenson
3162,0553383434,Frederick George
3163,0553383442,Neal Stephenson
3163,0553383442,J. Frederick George
3164,055338368X,Steven Pressfield
3165,0553384287,Dean Ray Koontz
3166,0553409026,James Redfield
3167,0553409689,M. C. Beaton
3168,0553485172,Donald J. Sobol
3169,0553485210,Donald J. Sobol
3170,0553493841,Francine Pascal
3171,0553493973,Francine Pascal
3172,0553494805,Caroline B. Cooney
3173,0553560271,John Saul
3174,0553560689,Lucy Maud Montgomery
3175,0553561588,Steve Perry
3176,0553562606,Stephen R. Donaldson
3177,0553562835,Sam Walton
3177,0553562835,John Huey
3178,0553563386,H. Norman Schwarzkopf
3178,0553563386,Peter Petre
3179,0553563505,Dan Simmons
3180,0553563696,Margaret Weis
3181,0553564935,Raymond E. Feist
3182,0553566407,Kate William
3182,0553566407,Francine Pascal
3183,0553567683,Sandra Brown
3184,055356997X,Isaac Asimov
3185,0553570684,Kate William
3185,0553570684,Francine Pascal
3186,0553571575,Sandra Brown
3187,0553572490,Jane Feather
3188,0553572989,Dan Simmons
3189,0553573306,David Brin
3190,0553574019,Kim Stanley Robinson
3191,0553574132,Steve Perry
3192,0553575651,Robin Hobb
3193,0553575953,Joseph Wambaugh
3194,0553576003,Sandra Brown
3195,0553576011,Sandra Brown
3196,0553576054,Sandra Brown
3197,0553576062,Sandra Brown
3198,0553576372,Theodore Roszak
3199,055357812X,Margaret Weis
3199,055357812X,Tracy Hickman
3200,0553578685,Lisa Gardner
3201,0553578979,Aaron Allston
3202,0553579754,Dean Ray Koontz
3203,0553580140,Stephen R. Donaldson
3204,0553580337,Brian Herbert
3204,0553580337,Kevin J. Anderson
3205,0553580515,Connie Willis
3206,055358054X,Shana Abé
3207,0553580833,Jean Stone
3208,055358135X,David L. Robbins
3209,0553581856,Teresa Medeiros
3210,0553581996,Shana Abe
3211,0553582003,Shana Abé
3212,055358202X,George R. R. Martin
3213,0553582909,Dean Koontz
3214,0553582917,Dean Ray Koontz
3215,055358295X,Jeffery Deaver
3216,0553583158,Charles Todd
3217,0553583166,Charles Todd
3218,0553583174,Charles Todd
3219,0553583298,Jeffery Deaver
3220,0553584480,Dean Ray Koontz
3221,0553584502,Dean Ray Koontz
3222,0553584537,Lisa Gardner
3223,0553584979,Shana Abé
3224,0553585754,Maggie Furey
3225,0553585800,Kim Stanley Robinson
3226,0553586076,Tim F. LaHaye
3226,0553586076,Bob Phillips
3227,0553586610,Charles Todd
3228,0553587072,Kelley Armstrong
3229,0553587080,Kelley Armstrong
3230,0553587153,Christopher Fowler
3231,0553587242,Luanne Rice
3232,0553588044,Shana Abe
3233,0553588117,Raymond E. Feist
3234,0553588192,Kelley Armstrong
3235,0553588257,Dean Ray Koontz
3236,0553588265,Dean Ray Koontz
3237,0553589474,Nora Roberts
3238,0553763253,Joseph Wambaugh
3239,055380202X,Stephen W. Hawking
3239,055380202X,STEPHEN W AUTOR HAWKING
3240,0553803522,Daniel Goleman
3241,0553803700,Isaac Asimov
3242,0553803816,Colin Wells
3243,0553804790,Dean Ray Koontz
3244,0553804936,Shana Abé
3245,0553813536,Erik Larson
3246,0553813951,Nicholas Sparks
3247,0553815024,Tess Gerritsen
3248,0553815393,Robert Whitaker
3249,0553816950,Jean Sasson
3250,055381706X,Tess Gerritsen
3251,0553817078,Tess Gerritsen
3252,056348649X,Gary Russell
3253,0563522755,Terry Jones
3253,0563522755,Alan Ereira
3254,0567044718,Robert McL Wilson
3255,0571090249,Seamus Heaney
3256,0571125298,Tom Stoppard
3257,057114456X,Milan Kundera
3258,0571161154,Juliette de Baïracli Levy
3259,0571164668,Orhan Pamuk
3260,0571169201,Gus Van Sant
3261,0571172482,Ian S. MacNiven
3262,0571178561,Nikos Kazantzakis
3263,0571191037,Ovid
3263,0571191037,Ted Hughes
3264,0571191630,Wisława Szymborska
3265,0571193781,Orhan Pamuk
3266,0571197515,Tom Stoppard
3267,0571200613,Rick Moody
3268,057120175X,Barbara Kingsolver
3269,057120211X,James Mangold
3269,057120211X,Lisa Loomer
3269,057120211X,Anna Hamilton Phelan
3270,0571202802,Terry Gilliam
3270,0571202802,Ian Christie
3271,0571203035,Paul Auster
3272,0571203159,Paul Schrader
3273,0571206921,Milan Kundera
3274,0571207081,Paul Cronin
3275,0571207995,Timothy Findley
3276,057120905X,Timothy Findley
3277,0571210910,Seamus Heaney
3278,057121150X,Neil LaBute
3279,0571212921,Sylvia Nasar
3280,0571214266,Lawrence Durrell
3281,0571215165,D. B. C. Pierre
3282,0571217354,James Joyce
3283,0571219314,Robert Evans
3284,0571219713,Rachel Klein
3285,0571224385,Milan Kundera
3286,0571225373,Kazuo Ishiguro
3287,057122539X,Kazuo Ishiguro
3288,0571226337,Paul Auster
3288,0571226337,Paul Karasik
3288,0571226337,David Mazzucchelli
3289,057506689X,Terry Pratchett
3290,057506885X,Terry Pratchett
3291,0575073357,Philip K. Dick
3292,0575073616,Joe Haldeman
3293,0575075368,Diana Wynne Jones
3294,0575075597,Ken Grimwood
3295,0575075821,John Gardner
3296,0575076267,Dan Simmons
3297,057507681X,Philip K. Dick
3298,0582418178,Stephen King
3298,0582418178,Robin Waterfield
3299,0582418275,John Grisham
3300,0582461464,John Steinbeck
3300,0582461464,Susan Shillinglaw
3301,0586008357,Isaac Asimov
3302,0586040102,Henri Charrière
3303,0586066888,Raymond E. Feist
3304,0586071393,Raymond E. Feist
3305,0586203192,Arthur C. Clarke
3306,0586203796,Raymond E. Feist
3306,0586203796,Janny Wurts
3307,0586210687,Janny Wurts
3308,0586210695,Janny Wurts
3309,0586217835,Raymond E. Feist
3310,0590032496,Roald Dahl
3311,0590100564,Molly Bang
3312,0590103873,Tara McCarthy
3313,0590135899,Alvin Schwartz
3314,0590209345,Tara McCarthy
3315,0590213113,Paula Danziger
3316,0590227165,Joanne Rocklin
3317,0590255223,Gordon Korman
3318,0590317679,William Sleator
3319,0590321145,Hilary Milton
3320,0590413813,Betty MacDonald
3321,0590419277,Gordon Korman
3322,0590428888,Jahnna N. Malcolm
3323,0590430262,John Peterson
3324,059043411X,Debbie Dadey
3324,059043411X,Marcia Thornton Jones
3325,0590440616,Debbie Dadey
3325,0590440616,Marcia Thornton Jones
3326,0590444255,Francine Patterson
3326,0590444255,Ronald H. Cohn
3327,0590456806,Caroline B. Cooney
3328,0590475363,Gertrude Chandler Warner
3329,0590488120,Laura Ingalls Wilder
3330,0590488155,Laura Ingalls Wilder
3331,0590692089,Ann M. Martin
3332,0590764705,Ann M. Martin
3333,0590876120,John Peterson
3334,0590956167,Bill Cosby
3334,0590956167,Varnette P. Honeywood
3335,0590975005,Roald Dahl
3336,0593040597,Stephen W. Hawking
3337,0593043162,Stephen Hawking
3338,0595272096,Arthur Herzog
3339,0595321801,Zilpha Keatley Snyder
3340,0596003064,Jeremy D. Zawodny
3340,0596003064,Derek J. Balling
3341,0596006624,Paul Graham
3342,0596006799,Dru Lavigne
3343,0596006934,David Pogue
3344,0596523696,Lucas Carlson
3344,0596523696,Leonard Richardson
3345,059652708X,Paul DuBois
3346,0600601161,Shere Hite
3347,0606349154,Gabriel Garcia Marquez
3347,0606349154,Gregory Rabassa
3348,0609602195,Ina Garten
3349,0609610570,Larry Bossidy
3349,0609610570,Ram Charan
3349,0609610570,Charles Burck
3350,0609801406,Stephen Jay Gould
3351,0609804243,Mona Lisa Schulz
3352,0609808346,Robert Siegel
3353,0613013379,Noel Streatfeild
3354,0613371658,Meg Cabot
3355,0613926552,William Anderson
3355,0613926552,"William T Anderson, Ed."
3356,0613996984,John Steinbeck
3357,0618002235,John Ronald Reuel Tolkien
3358,0618009361,John Ronald Reuel Tolkien
3359,0618056734,Richard Dawkins
3360,0618056807,Anita Desai
3361,0618056815,John Dos Passos
3362,0618056823,John Dos Passos
3363,0618056831,John Dos Passos
3364,0618056998,John Ronald Reuel Tolkien
3365,0618057021,Humphrey Carpenter
3366,0618057072,Julian Jaynes
3367,0618074511,Anita Desai
3368,0618083553,John Ronald Reuel Tolkien
3368,0618083553,Christopher Tolkien
3369,061808357X,John Ronald Reuel Tolkien
3369,061808357X,Christopher Tolkien
3370,0618083618,Wayne G. Hammond
3370,0618083618,Christina Scull
3371,0618084746,Carson McCullers
3372,0618111204,Stephen R. Swinburne
3372,0618111204,Jim Brandenburg
3373,061812733X,Elizabeth Gilbert
3374,0618127364,Rick Bass
3375,0618131701,John Barth
3376,0618134301,Garry Wills
3376,0618134301,Pulitzer Prize-Winning Journalist and Historian Garry Wills
3377,0618134328,Garry Wills
3378,0618153977,J. R. R. Tolkien
3379,0618181903,Mary Downing Hahn
3380,0618196250,Joan Aiken
3381,0618249060,Rachel Carson
3382,0618251324,Glenn Stout
3382,0618251324,Buzz Bissinger
3383,0618251456,Peter Smith
3384,0618254110,John Alexander Guy
3385,0618257764,Garry Wills
3386,0618258027,Jude Fisher
3387,0618260226,Brian Sibley
3388,0618260307,John Ronald Reuel Tolkien
3389,0618260587,John Ronald Reuel Tolkien
3390,0618329676,Nelson DeMille
3390,0618329676,Otto Penzler
3391,0618339558,Jim Murphy
3392,0618346252,J. R. R. Tolkien
3393,0618380442,Rick Bass
3394,0618391002,Chris Smith
3395,0618391029,Christina Scull
3395,0618391029,Wayne G. Hammond
3396,061839110X,Brian Sibley
3397,0618422536,Neil D. Isaacs
3397,0618422536,Rose A. Zimbardo
3398,0618439099,David Lubar
3399,0618445579,Jacqueline K. Ogburn
3399,0618445579,Marjorie Priceman
3400,0618446702,Eric Schlosser
3401,0618446710,Darcy Frey
3402,0618446877,Paul Theroux
3403,0618470220,Glenn Stout
3403,0618470220,Michael Lewis
3404,0618471162,Richard W. Bulliet
3405,061847790X,Ellen Weiss
3405,061847790X,Robert Zemeckis
3405,061847790X,William Broyles
3405,061847790X,Chris Van Allsburg
3406,0618477942,Alison Bechdel
3407,0618479031,Andrew Weil
3408,0618485228,Jhumpa Lahiri
3409,0618506918,Michael Oates
3409,0618506918,Larbi Oukada
3410,0618510826,Jude Fisher
3411,0618526412,Carson McCullers
3412,0618554599,Dashka Slater
3412,0618554599,Nicoletta Ceccoli
3413,0618574816,John Garth
3414,0618574956,John Ronald Reuel Tolkien
3415,0618582150,Tim Cahill
3415,0618582150,Jason Wilson
3416,0618586458,Philip Zaleski
3417,061861169X,Chris Van Allsburg
3418,0618619070,Adam Hochschild
3419,061861916X,Richard Dawkins
3419,061861916X,Yan Wong
3420,0618640142,Alan Lee
3421,0618685502,Lois Lowry
3422,061870986X,Tim O'Brien
3423,0618710310,Eric Schlosser
3423,0618710310,Charles Wilson
3424,0618710507,Rick Bass
3425,0618710531,H. G. Bissinger
3425,0618710531,Buzz Bissinger
3426,0618711651,Jonathan Safran Foer
3427,061871166X,Amitav Ghosh
3428,061877355X,Jerome Karabel
3429,0618894640,John Ronald Reuel Tolkien
3430,0631163026,Terry Eagleton
3431,0631169407,Ludwig Wittgenstein
3432,0631186271,John G. Cottingham
3433,0631198199,Stephen Mulhall
3433,0631198199,Adam Swift
3434,0631231277,Ludwig Wittgenstein
3435,0634041126,Michael W. Smith
3436,0635034700,Carole Marsh
3437,0664226108,Ralph C. Wood
3438,0664228917,Ronald Bruce Flowers
3439,0664241581,Ernest Gordon Rupp
3439,0664241581,Philip Saville Watson
3440,0670034665,Norah Vincent
3441,0670034800,Jane Green
3442,067003665X,Roald Dahl
3443,0670037605,Nathaniel Philbrick
3444,067003777X,Marisha Pessl
3445,0670037788,Margaret George
3446,0670037869,Martha Grimes
3447,0670038385,A. M. Homes
3448,0670044369,Stuart McLean
3449,0670820555,Peter Wright
3450,0670876127,Astrid Lindgren
3450,0670876127,Michael Chesworth
3451,0670886580,Salman Rushdie
3452,0670910619,Bryce Courtenay
3453,0670913529,Eoin Colfer
3454,0670915416,Art Spiegelman
3455,0671000748,Richard Marcinko
3455,0671000748,John Weisman
3456,0671001957,Stephen Chbosky
3457,067100347X,Dale Peck
3458,0671004549,Mary Higgins Clark
3459,0671007637,V.C. Andrews
3460,0671009443,Howard Stern
3460,0671009443,John D. Simons
3461,0671014919,Mary Higgins Clark
3462,0671015206,Thomas J. Stanley
3462,0671015206,William D. Danko
3463,0671019090,Graham Greene
3464,067102082X,Hugh Laurie
3465,0671021001,Wally Lamb
3466,0671024183,Colleen McCullough
3467,0671024205,Colleen McCullough
3468,067102423X,Stephen King
3469,0671024817,J G Passarella
3470,0671025708,Ed McBain
3471,0671026011,Jeffery Deaver
3472,0671026224,Clive Cussler
3472,0671026224,Craig Dirgo
3473,0671027123,Mary Higgins Clark
3474,0671027638,Arthur Nersesian
3475,0671035975,Dale Carnegie
3476,0671036351,L. A. Graf
3477,0671039741,Stephen King
3478,0671039946,V. C. Andrews
3479,0671040847,Tananarive Due
3480,067104155X,Richard A. Knaak
3481,0671042858,Stephen King
3482,0671047647,Garry Wills
3483,067121148X,Shel Silverstein
3484,0671447548,David McCullough
3485,0671519166,Scott Turow
3486,0671519182,Mary Higgins Clark
3487,0671519980,Dale Carnegie
3488,0671524097,Jayne Ann Krentz
3489,067155302X,Tess Gerritsen
3490,0671553046,Tess Gerritsen
3491,0671569023,Jayne Castle
3492,0671578634,Robert A. Heinlein
3493,0671631985,Siegfried Engelmann
3493,0671631985,Phyllis Haddox
3493,0671631985,Elaine Bruner
3494,0671639617,Stephen M. Pollan
3494,0671639617,Mark Levine
3495,0671646192,Nancy Harding
3496,0671662341,Miep Gies
3496,0671662341,Alison Leslie Gold
3497,0671685635,Peter Straub
3498,0671695185,Robert R. McCammon
3499,0671704648,Clive Cussler
3500,0671708635,Stephen R. Covey
3501,0671722077,Josepha Sherman
3501,0671722077,Mercedes Lackey
3502,0671722875,Helen Hunt
3502,0671722875,William Shakespeare
3503,0671727796,Alice Walker
3504,0671728202,Jack Higgins
3505,0671731424,Robert McCammon
3506,0671732471,Carlos Castaneda
3507,067173248X,Carlos Castaneda
3508,0671732528,Carlos Castaneda
3509,0671737767,Robert McCammon
3510,0671739166,Will Durant
3511,0671741039,Robert McCammon
3512,0671742515,Douglas Adams
3513,0671743058,Robert McCammon
3514,067176991X,Robert R. McCammon
3515,0671792806,Stephen R. Covey
3516,067179356X,Ann Rule
3517,067179566X,Laurell K. Hamilton
3518,0671797867,Harry Crews
3519,0671823493,Pearl Sydenstricker Buck
3520,0671867423,Garry Wills
3521,0671876996,Roger Zelazny
3522,0671877666,S. M. Stirling
3523,067187778X,Lackey
3524,0671878840,Fred Saberhagen
3525,0671882368,Daniel Pool
3526,0671887173,Stephen R. Covey
3527,0674002059,Helen Hennessy Vendler
3528,0674006720,David E. Kaiser
3529,0674008200,Jorge Luis Borges
3529,0674008200,Calin Andrei Mihailescu
3530,067401829X,Judith FARR
3530,067401829X,Louise Carter
3531,0674022572,Jon F Sensbach
3532,0674022874,Walter Benjamin
3533,0674023854,Christopher M. Clark
3533,0674023854,"University Christopher Clark, MD"
3534,0674035011,Mary Fitt
3534,0674035011,Kathleen Freeman
3535,0674215184,Professor of General Literature J M Coetzee
3535,0674215184,J. M. Coetzee
3536,067426858X,Bernard Williams
3537,0674268636,Charles Taylor
3538,067429503X,Frederick C. Beiser
3539,0674618769,Anthony Grafton
3539,0674618769,Nancy G. Siraisi
3539,0674618769,April Shelford
3540,0674637127,Helen Vendler
3541,0674644840,Merlin Donald
3542,0674673778,Toni Morrison
3543,0674705599,William James
3544,0674777700,Colin Michael Wells
3545,0674802802,Richard A. POSNER
3546,0674821068,Octavio Paz
3547,0674824261,Charles Taylor
3548,0674891996,Stephen Jay Gould
3549,0674940520,Alfred D. Chandler Jr.
3550,0674954017,Saul A. Kripke
3551,0674961870,Edward W. Said
3552,0674990331,Marcus Tullius Cicero
3552,0674990331,Walter Miller
3553,0674990471,Ovid
3554,0674991842,Plato
3555,0674991877,Thucydides
3556,0674992024,Xenophon
3557,0674992407,Epictetus
3558,0674992555,Ovid
3559,0674994809,Babrius
3559,0674994809,Phaedrus
3559,0674994809,Ben Edwin Perry
3560,067499566X,Euripides
3561,0674995740,Plutarcus
3561,0674995740,Ευριπιδες
3562,0676977111,Kazuo Ishiguro
3563,0679409963,Thomas Mann
3564,0679413359,Virgil
3565,0679420258,Italo Calvino
3565,0679420258,William Weaver
3566,0679420266,Albert Camus
3566,0679420266,Matthew Ward
3567,0679420290,Fyodor Dostoyevsky
3568,0679424784,William Faulkner
3569,067942895X,Maya Angelou
3570,0679431365,Evelyn Waugh
3571,0679431373,François Rabelais
3572,0679434046,Rosie Daley
3573,0679444599,John Updike
3574,0679446087,Rohinton Mistry
3575,0679600051,Marcel Proust
3576,0679600175,William Faulkner
3577,0679601120,Shelby Foote
3578,0679601325,Dorothy Parker
3579,0679602984,Hunter S. Thompson
3580,0679641041,Cormac McCarthy
3581,0679642846,Stendhal
3582,0679643249,Michael Shaara
3583,0679643257,Maya Angelou
3584,0679643427,Edgar Allan Poe
3585,0679643524,William Styron
3586,0679720227,Albert Camus
3587,0679721037,John Hersey
3588,0679721819,Gloria Naylor
3589,0679722319,Raymond Carver
3590,0679722947,Don DeLillo
3591,0679722955,Don DeLillo
3592,0679723056,Raymond Carver
3593,0679723129,Anthony Lewis
3594,0679723137,Ralph Ellison
3595,0679723161,Vladimir Vladimirovich Nabokov
3596,0679723692,Raymond Carver
3597,0679724699,Michel Foucault
3598,067972477X,Robert Graves
3599,0679725164,Jean-Paul Sartre
3600,0679725229,Vladimir Vladimirovich Nabokov
3601,0679725407,Wole Soyinka
3602,0679726098,Vladimir Vladimirovich Nabokov
3603,0679726209,Владимир Владимирович Набоков
3604,0679726489,Graham Chapman
3604,0679726489,Monty Python (Comedy troupe)
3604,0679726489,Terry Gilliam
3604,0679726489,Eric Idle
3604,0679726489,Terry Jones
3605,0679727221,Vladimir Vladimirovich Nabokov
3605,0679727221,Michael Scammell
3606,067972723X,Владимир Владимирович Набоков
3607,0679727299,Владимир Владимирович Набоков
3607,0679727299,Vladimir Vladimirovich Nabokov
3608,0679729771,Art Spiegelman
3609,0679729917,Roald Dahl
3610,0679729976,Vladimir Vladimirovich Nabokov
3611,0679730613,Fredric Dannen
3612,0679731148,Peter Mayle
3613,0679731180,Elaine Pagels
3614,0679731377,Julian Barnes
3615,0679732179,William Faulkner
3616,0679732268,William Faulkner
3617,0679732349,Ann Beattie
3618,0679732543,David Goodis
